Unnamed:,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Cluster
0,0,529,512,262,432,92,3,1,1,0,0
1,1,150,0,0,150,0,0,0,0,0,0
2,0,227,236,57,204,21,1,1,0,0,0
3,1,111,0,0,111,0,0,0,0,0,0
4,1,213,0,0,204,9,0,0,0,0,0
5,1,217,6,0,211,5,1,0,0,0,0
6,0,503,614,72,418,70,10,2,0,3,0
7,0,295,453,53,260,32,1,1,0,1,0
8,1,203,1,0,198,5,0,0,0,0,0
9,1,170,9,1,167,3,0,0,0,0,0
10,1,210,2,3,202,7,1,0,0,0,0
11,1,222,4,0,213,5,4,0,0,0,0
12,1,313,4,2,305,6,2,0,0,0,0
13,1,209,4,0,200,8,1,0,0,0,0
14,1,346,11,0,335,10,1,0,0,0,0
15,0,332,100,30,303,23,1,5,0,0,0
16,0,135,256,79,117,18,0,0,0,0,0
17,0,150,173,47,132,16,1,0,1,0,0
18,0,221,166,36,192,28,0,1,0,0,0
19,1,152,2,0,149,3,0,0,0,0,0
20,1,234,15,1,221,12,1,0,0,0,0
21,1,227,7,1,217,7,2,1,0,0,0
22,1,98,0,0,96,0,2,0,0,0,0
23,0,18,0,0,18,0,0,0,0,0,0
24,1,102,0,0,100,0,2,0,0,0,0
25,0,37,0,1,37,0,0,0,0,0,0
26,0,75,36,14,70,5,0,0,0,0,0
27,0,90,78,9,85,5,0,0,0,0,0
28,1,145,9,0,138,7,0,0,0,0,0
29,0,253,300,31,229,22,1,1,0,0,0
30,1,85,0,0,81,2,2,0,0,0,0
31,0,45,14,0,40,5,0,0,0,0,0
32,1,92,0,0,85,4,2,1,0,0,0
33,1,125,1,0,116,8,1,0,0,0,0
34,1,119,4,0,116,3,0,0,0,0,0
35,1,293,8,0,281,11,1,0,0,0,0
36,0,128,137,26,110,16,2,0,0,0,0
37,1,84,15,13,78,5,1,0,0,0,0
38,1,66,11,6,61,4,1,0,0,0,0
39,0,171,292,28,150,19,1,1,0,0,0
40,0,90,72,23,79,10,1,0,0,0,0
41,0,139,39,9,121,16,1,1,0,0,0
42,0,236,181,21,201,33,0,1,0,1,0
43,0,225,210,34,193,30,0,2,0,0,0
44,1,275,12,0,260,11,4,0,0,0,0
45,0,372,456,37,334,31,1,1,1,4,0
46,1,445,9,0,419,23,3,0,0,0,0
47,0,128,60,11,114,13,0,0,0,1,0
48,0,186,235,46,163,19,0,3,0,1,0
49,0,309,444,36,254,42,2,8,3,0,0
50,1,77,11,3,75,2,0,0,0,0,0
51,0,119,72,28,103,16,0,0,0,0,0
52,1,100,21,13,95,5,0,0,0,0,0
53,0,240,255,111,193,44,1,1,0,1,0
54,0,164,136,48,146,15,2,0,1,0,0
55,0,202,327,42,171,30,1,0,0,0,0
56,0,211,284,46,186,25,0,0,0,0,0
57,0,148,114,16,136,10,0,2,0,0,0
58,0,97,81,16,84,13,0,0,0,0,0
59,0,279,292,34,254,20,3,1,1,0,0
60,1,263,8,0,245,14,4,0,0,0,0
61,0,177,193,34,151,25,1,0,0,0,0
62,1,517,32,1,484,26,7,0,0,0,0
63,0,289,258,33,256,33,0,0,0,0,0
64,1,66,13,0,65,1,0,0,0,0,0
65,1,112,6,0,104,8,0,0,0,0,0
66,0,206,259,48,181,22,1,2,0,0,0
67,0,362,468,86,305,56,0,0,1,0,0
68,0,184,130,51,161,23,0,0,0,0,0
69,0,216,251,34,199,16,0,0,0,1,0
70,0,57,0,0,56,1,0,0,0,0,0
71,0,272,258,43,226,44,1,1,0,0,0
72,0,248,247,34,208,33,3,2,0,2,0
73,0,132,89,40,110,20,1,0,0,1,0
74,0,226,341,41,196,30,0,0,0,0,0
75,0,35,1,0,35,0,0,0,0,0,0
76,0,219,316,36,170,46,3,0,0,0,0
77,0,94,1,1,94,0,0,0,0,0,0
78,0,259,368,50,234,25,0,0,0,0,0
79,0,62,1,0,62,0,0,0,0,0,0
80,0,127,76,21,114,13,0,0,0,0,0
81,0,149,63,15,134,15,0,0,0,0,0
82,0,134,171,41,116,18,0,0,0,0,0
83,0,392,461,47,360,32,0,0,0,0,0
84,0,310,540,41,284,26,0,0,0,0,0
85,1,14,3,0,12,2,0,0,0,0,0
86,1,293,6,1,275,15,3,0,0,0,0
87,1,236,12,0,226,8,1,1,0,0,0
88,1,312,10,0,291,18,3,0,0,0,0
89,1,24,12,0,24,0,0,0,0,0,0
90,1,16,9,0,15,1,0,0,0,0,0
91,1,33,12,0,32,1,0,0,0,0,0
92,1,675,10,0,645,29,1,0,0,0,0
93,1,737,18,0,697,31,9,0,0,0,0
94,1,572,16,0,554,16,2,0,0,0,0
95,1,23,7,0,20,3,0,0,0,0,0
96,1,266,25,0,250,11,5,0,0,0,0
97,0,378,512,30,348,27,2,0,0,1,0
98,0,421,709,30,373,45,2,0,1,0,0
99,0,1493,1979,753,1333,139,9,3,8,1,1
100,1,76,17,0,76,0,0,0,0,0,0
101,1,36,11,0,34,2,0,0,0,0,0
102,1,19,8,0,18,0,0,1,0,0,0
103,1,27,10,0,27,0,0,0,0,0,0
104,1,117,2,53,108,9,0,0,0,0,0
105,1,146,1,0,145,1,0,0,0,0,0
106,1,166,0,13,151,7,0,0,8,0,0
107,1,190,0,31,171,0,0,0,19,0,0
108,1,217,16,0,213,4,0,0,0,0,0
109,1,458,14,0,451,3,4,0,0,0,0
110,1,553,15,0,538,12,3,0,0,0,0
111,1,203,18,11,190,7,6,0,0,0,0
112,1,1005,25,1,979,16,9,1,0,0,2
113,0,202,145,23,182,19,0,0,0,1,0
114,1,428,14,0,419,4,5,0,0,0,0
115,1,479,17,0,462,10,7,0,0,0,0
116,0,212,116,11,201,10,1,0,0,0,0
117,0,225,157,17,211,14,0,0,0,0,0
118,0,171,46,5,156,12,2,1,0,0,0
119,0,247,120,16,232,14,1,0,0,0,0
120,0,269,453,39,242,26,1,0,0,0,0
121,0,258,486,32,235,23,0,0,0,0,0
122,1,109,2,1,104,5,0,0,0,0,0
123,1,97,5,0,96,0,1,0,0,0,0
124,0,280,199,25,254,24,2,0,0,0,0
125,0,325,77,21,293,30,1,1,0,0,0
126,1,51,11,0,51,0,0,0,0,0,0
127,0,280,825,47,243,35,1,1,0,0,0
128,0,688,0,0,632,34,0,0,22,0,0
129,0,365,805,46,320,39,1,3,0,2,0
130,1,295,5,0,295,0,0,0,0,0,0
131,1,27,14,0,26,1,0,0,0,0,0
132,1,15,11,0,15,0,0,0,0,0,0
133,1,16,12,0,16,0,0,0,0,0,0
134,1,29,12,0,29,0,0,0,0,0,0
135,0,28,6,0,28,0,0,0,0,0,0
136,1,8,8,0,8,0,0,0,0,0,0
137,1,10,9,0,10,0,0,0,0,0,0
138,1,39,8,0,39,0,0,0,0,0,0
139,1,49,11,0,47,2,0,0,0,0,0
140,0,226,449,37,189,25,1,1,10,0,0
141,0,104,49,13,91,12,0,0,1,0,0
142,1,251,17,0,244,7,0,0,0,0,0
143,0,244,589,48,213,29,1,1,0,0,0
144,0,252,558,41,204,45,1,1,0,1,0
145,0,121,15,4,114,4,2,1,0,0,0
146,1,321,5,0,307,11,2,1,0,0,0
147,1,103,8,3,99,4,0,0,0,0,0
148,0,136,31,16,122,14,0,0,0,0,0
149,0,337,247,27,300,35,1,1,0,0,0
150,1,648,13,0,627,18,3,0,0,0,0
151,0,175,157,14,157,18,0,0,0,0,0
152,0,339,424,36,296,38,1,4,0,0,0
153,1,341,3,0,331,8,2,0,0,0,0
154,0,177,131,27,150,27,0,0,0,0,0
155,1,201,0,0,195,4,2,0,0,0,0
156,1,43,7,0,41,2,0,0,0,0,0
157,1,40,7,0,39,1,0,0,0,0,0
158,1,58,14,0,57,1,0,0,0,0,0
159,0,403,525,42,363,36,1,3,0,0,0
160,1,148,4,3,144,4,0,0,0,0,0
161,1,150,24,2,144,6,0,0,0,0,0
162,1,53,12,0,53,0,0,0,0,0,0
163,1,144,15,8,140,4,0,0,0,0,0
164,0,298,491,46,262,34,2,0,0,0,0
165,1,171,4,1,166,5,0,0,0,0,0
166,1,4410,633,257,4315,73,17,5,0,0,2
167,0,374,588,46,327,47,0,0,0,0,0
168,1,181,20,0,180,1,0,0,0,0,0
169,1,267,20,1,249,8,10,0,0,0,0
170,1,60,7,0,59,1,0,0,0,0,0
171,1,98,23,5,95,2,1,0,0,0,0
172,0,26,7,0,26,0,0,0,0,0,0
173,1,255,18,0,244,11,0,0,0,0,0
174,1,174,6,1,167,5,2,0,0,0,0
175,1,64,5,1,59,5,0,0,0,0,0
176,1,62,3,0,58,4,0,0,0,0,0
177,0,192,417,40,168,22,1,1,0,0,0
178,1,110,18,6,110,0,0,0,0,0,0
179,1,119,12,7,117,2,0,0,0,0,0
180,1,42,11,0,41,0,1,0,0,0,0
181,0,234,355,34,178,52,2,0,1,1,0
182,1,54,10,0,53,1,0,0,0,0,0
183,1,82,8,0,80,1,0,0,1,0,0
184,1,18,8,0,18,0,0,0,0,0,0
185,1,147,17,7,141,5,1,0,0,0,0
186,1,80,8,0,79,1,0,0,0,0,0
187,0,299,564,42,262,34,1,1,0,1,0
188,1,629,11,1,607,18,4,0,0,0,0
189,1,69,2,0,67,2,0,0,0,0,0
190,0,219,110,17,190,26,1,2,0,0,0
191,1,30,2,0,27,3,0,0,0,0,0
192,1,65,1,0,62,2,1,0,0,0,0
193,1,161,7,0,153,8,0,0,0,0,0
194,0,398,605,30,348,44,3,3,0,0,0
195,1,47,7,0,47,0,0,0,0,0,0
196,1,182,3,4,177,5,0,0,0,0,0
197,0,317,158,32,269,47,1,0,0,0,0
198,0,571,888,107,459,107,1,1,1,2,0
199,1,16,10,0,15,1,0,0,0,0,0
200,1,30,9,0,30,0,0,0,0,0,0
201,1,57,7,0,57,0,0,0,0,0,0
202,1,74,6,3,74,0,0,0,0,0,0
203,0,368,911,50,317,50,1,0,0,0,0
204,1,19,3,0,19,0,0,0,0,0,0
205,1,176,3,0,175,0,1,0,0,0,0
206,1,133,7,0,133,0,0,0,0,0,0
207,1,162,6,2,158,3,1,0,0,0,0
208,0,734,996,73,601,116,11,6,0,0,0
209,1,42,16,9,41,1,0,0,0,0,0
210,1,33,6,3,31,2,0,0,0,0,0
211,0,29,6,1,29,0,0,0,0,0,0
212,1,43,6,0,42,1,0,0,0,0,0
213,1,14,6,0,13,1,0,0,0,0,0
214,0,475,574,48,406,63,4,2,0,0,0
215,1,50,8,2,49,1,0,0,0,0,0
216,1,94,23,6,94,0,0,0,0,0,0
217,0,303,34,3,291,11,1,0,0,0,0
218,1,168,7,1,167,1,0,0,0,0,0
219,1,248,14,0,241,7,0,0,0,0,0
220,1,422,6,0,410,8,3,1,0,0,0
221,1,189,3,0,184,2,0,3,0,0,0
222,1,390,17,2,382,5,3,0,0,0,0
223,1,618,28,0,597,14,7,0,0,0,0
224,1,191,2,2,188,2,1,0,0,0,0
225,0,321,1381,67,275,44,1,1,0,0,0
226,1,364,7,2,347,15,2,0,0,0,0
227,1,51,10,0,51,0,0,0,0,0,0
228,0,282,524,38,247,34,0,1,0,0,0
229,1,369,14,1,362,7,0,0,0,0,0
230,1,138,16,6,133,4,1,0,0,0,0
231,1,96,9,1,93,1,2,0,0,0,0
232,1,186,11,0,184,1,1,0,0,0,0
233,1,487,15,0,461,14,12,0,0,0,0
234,0,282,19,4,257,20,3,2,0,0,0
235,1,383,8,1,367,13,3,0,0,0,0
236,1,216,0,1,211,5,0,0,0,0,0
237,1,48,0,0,45,2,1,0,0,0,0
238,0,885,462,26,659,220,0,2,0,0,1
239,1,185,11,1,175,10,0,0,0,0,0
240,1,259,1,1,251,7,0,1,0,0,0
241,1,299,9,0,291,8,0,0,0,0,0
242,1,199,9,1,186,13,0,0,0,0,0
